tweet_id,rating_numerator,rating_denominator,name,dog_stage,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
892420643555336193,13,10,Phineas,None,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False,39467,8853
892177421306343426,13,10,Tilly,None,chihuahua,0.323581,True,pekinese,0.0906465,True,papillon,0.0689569,True,33819,6514
891815181378084864,12,10,Archie,None,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,25461,4328
891689557279858688,13,10,Darla,None,paper_towel,0.17027799999999998,False,labrador_retriever,0.168086,True,spatula,0.0408359,False,42908,8964
891327558926688256,12,10,Franklin,None,basset,0.555712,True,english_springer,0.22577,True,german_short-haired_pointer,0.175219,True,41048,9774
891087950875897856,13,10,None,None,chesapeake_bay_retriever,0.425595,True,irish_terrier,0.116317,True,indian_elephant,0.07690219999999999,False,20562,3261
890971913173991426,13,10,Jax,None,appenzeller,0.34170300000000003,True,border_collie,0.199287,True,ice_lolly,0.193548,False,12041,2158
890729181411237888,13,10,None,None,pomeranian,0.566142,True,eskimo_dog,0.17840599999999998,True,pembroke,0.0765069,True,56848,16716
890609185150312448,13,10,Zoey,None,irish_terrier,0.487574,True,irish_setter,0.193054,True,chesapeake_bay_retriever,0.118184,True,28226,4429
890240255349198849,14,10,Cassie,doggo,pembroke,0.511319,True,cardigan,0.451038,True,chihuahua,0.0292482,True,32467,7711
890006608113172480,13,10,Koda,None,samoyed,0.957979,True,pomeranian,0.0138835,True,chow,0.00816748,True,31166,7624
889880896479866881,13,10,Bruno,None,french_bulldog,0.377417,True,labrador_retriever,0.151317,True,muzzle,0.0829811,False,28268,5156
889665388333682689,13,10,None,puppo,pembroke,0.966327,True,cardigan,0.0273557,True,basenji,0.00463323,True,38818,8538
889638837579907072,12,10,Ted,None,french_bulldog,0.99165,True,boxer,0.00212864,True,staffordshire_bullterrier,0.00149818,True,27672,4735
889531135344209921,13,10,Stuart,puppo,golden_retriever,0.953442,True,labrador_retriever,0.0138341,True,redbone,0.00795775,True,15359,2321
889278841981685760,13,10,Oliver,None,whippet,0.626152,True,borzoi,0.194742,True,saluki,0.0273507,True,25652,5637
888917238123831296,12,10,Jim,None,golden_retriever,0.714719,True,tibetan_mastiff,0.120184,True,labrador_retriever,0.105506,True,29611,4709
888804989199671297,13,10,Zeke,None,golden_retriever,0.46976,True,labrador_retriever,0.184172,True,english_setter,0.0734817,True,26080,4559
888554962724278272,13,10,Ralphus,None,siberian_husky,0.700377,True,eskimo_dog,0.166511,True,malamute,0.111411,True,20290,3732
888078434458587136,12,10,Gerald,None,french_bulldog,0.995026,True,pug,0.000931908,True,bull_mastiff,0.000903211,True,22201,3653
887705289381826560,13,10,Jeffrey,None,basset,0.821664,True,redbone,0.0875815,True,weimaraner,0.026236400000000003,True,30779,5609
887517139158093824,14,10,None,None,limousine,0.130432,False,tow_truck,0.0291754,False,shopping_cart,0.0263208,False,46959,12082
887473957103951883,13,10,Canela,None,pembroke,0.809197,True,rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True,69871,18781
887343217045368832,13,10,None,None,mexican_hairless,0.330741,True,sea_lion,0.275645,False,weimaraner,0.134203,True,34222,10737
887101392804085760,12,10,None,None,samoyed,0.733942,True,eskimo_dog,0.0350295,True,staffordshire_bullterrier,0.029704700000000007,True,31061,6167
886983233522544640,13,10,Maya,None,chihuahua,0.793469,True,toy_terrier,0.143528,True,can_opener,0.0322529,False,35859,8084
886736880519319552,13,10,Mingus,None,kuvasz,0.309706,True,great_pyrenees,0.186136,True,dandie_dinmont,0.08634630000000001,True,12306,3443
886680336477933568,13,10,Derek,None,convertible,0.738995,False,sports_car,0.139952,False,car_wheel,0.0441727,False,22798,4610
886366144734445568,12,10,Roscoe,pupper,french_bulldog,0.999201,True,chihuahua,0.000361178,True,boston_bull,7.55616e-05,True,21524,3316
886258384151887873,13,10,Waffles,None,pug,0.943575,True,shower_cap,0.0252856,False,siamese_cat,0.00284892,False,28469,6523
885984800019947520,12,10,Jimbo,None,blenheim_spaniel,0.972494,True,shih-tzu,0.00663012,True,bernese_mountain_dog,0.00623915,True,33382,7097
885528943205470208,13,10,Maisey,None,pug,0.369275,True,labrador_retriever,0.265835,True,kuvasz,0.134697,True,36689,6683
885167619883638784,13,10,None,None,malamute,0.8124819999999999,True,siberian_husky,0.0717125,True,eskimo_dog,0.0557697,True,22367,4556
884925521741709313,12,10,Earl,None,italian_greyhound,0.259916,True,american_staffordshire_terrier,0.198451,True,staffordshire_bullterrier,0.127725,True,68152,16439
884876753390489601,13,10,Lola,None,chow,0.822103,True,norwich_terrier,0.106075,True,norfolk_terrier,0.0373485,True,28514,6096
884562892145688576,13,10,Kevin,None,pug,0.5464060000000001,True,french_bulldog,0.404291,True,brabancon_griffon,0.0440019,True,24765,5100
884441805382717440,14,10,None,None,pembroke,0.993225,True,cardigan,0.00321648,True,chihuahua,0.00208089,True,27478,5856
884162670584377345,12,10,Yogi,doggo,german_shepherd,0.707046,True,malinois,0.199396,True,norwegian_elkhound,0.0491476,True,20771,3128
883838122936631299,12,10,Noah,None,doberman,0.610946,True,miniature_pinscher,0.299603,True,kelpie,0.0630203,True,22349,3586
883482846933004288,5,10,Bella,None,golden_retriever,0.943082,True,labrador_retriever,0.032409,True,kuvasz,0.00550072,True,46860,10407
883360690899218434,13,10,Grizzwald,floofer,chow,0.987997,True,tibetan_mastiff,0.00709872,True,newfoundland,0.00214033,True,22986,3825
883117836046086144,13,10,None,None,golden_retriever,0.949562,True,labrador_retriever,0.045947900000000014,True,kuvasz,0.00247094,True,37914,6949
882992080364220416,13,10,Rusty,None,eskimo_dog,0.466778,True,siberian_husky,0.406044,True,dingo,0.07341439999999999,False,24445,4122
882762694511734784,12,10,Gus,pupper,labrador_retriever,0.85005,True,chesapeake_bay_retriever,0.074257,True,flat-coated_retriever,0.015579399999999997,True,28903,5134
882627270321602560,13,10,Stanley,None,pembroke,0.542982,True,chihuahua,0.251988,True,cardigan,0.107699,True,28382,6342
882268110199369728,13,10,Alfy,None,golden_retriever,0.762211,True,labrador_retriever,0.0989849,True,cocker_spaniel,0.0171995,True,45880,12118
882045870035918850,13,10,Koko,None,web_site,0.949591,False,dhole,0.0173258,False,golden_retriever,0.00694063,True,29900,5203
881906580714921986,12,10,Rey,None,weimaraner,0.291539,True,chesapeake_bay_retriever,0.278966,True,koala,0.12701700000000002,False,24773,3533
881666595344535552,13,10,Gary,None,saluki,0.529012,True,afghan_hound,0.25000300000000003,True,golden_retriever,0.16073900000000002,True,51522,11099
881536004380872706,14,10,None,pupper,samoyed,0.281463,True,angora,0.272066,False,persian_cat,0.114854,False,50199,16570
881268444196462592,12,10,Elliot,None,tusker,0.473303,False,indian_elephant,0.245646,False,ibex,0.0556607,False,23501,5358
880935762899988482,13,10,Louis,None,street_sign,0.251801,False,umbrella,0.115123,False,traffic_light,0.0695338,False,17346,2886
880872448815771648,12,10,None,None,pembroke,0.791416,True,norwich_terrier,0.0613929,True,chihuahua,0.0337257,True,21734,3989
880465832366813184,12,10,Bella,None,golden_retriever,0.913255,True,labrador_retriever,0.0263286,True,cocker_spaniel,0.00937082,True,29075,6546
